id,feature_name_fr,feature_parent,feature_grandpa,tree_depth,Nom complet,Relation,Ceramic_Relation,Nom abrégé avec la relation
47,Firing,,0,0,Firing,,Has_Firing,
48,Firing Atmosphere,47.0,47,1,Firing by atmosphere,is-a,Has_Firing,Firing
49,Oxidizing,48.0,47,2,Firing in oxidizing atmosphere,is-a,Has_Firing,Cuisson selon l'atmosphère 
50,Reducing,48.0,47,2,Firing in reducing atmosphere,is-a,Has_Firing,Cuisson selon l'atmosphère 
51,Random,48.0,47,2,Cuisson en atmosphère non maîtrisée,is-a,Has_Firing,Cuisson selon l'atmosphère 
52,Firing Marks,47.0,47,1,Firing with traces of stacking,is-a,Has_Firing,Firing
53,Stilt mark,52.0,47,2,Cuisson avec traces de pernette,is-a,Has_Firing,Firing with traces of stacking
54,Nesting,52.0,47,2,Cuisson avec traces d'emboîtement,is-a,Has_Firing,Firing with traces of stacking
55,Other,52.0,47,2,Cuisson avec traces d'enfournement autre que pernettes et emboîtement/Cuisson avec traces d'enfournement atypique,is-a,Has_Firing,Firing with traces of stacking
94,Decoration,,0,0,Decoration,,Has_Decoration,
95,Geometric decoration,94.0,94,1,Geometric decoration,is-a,Has_Decoration,Decoration
96,Figurative decoration,94.0,94,1,Figural decoration,is-a,Has_Decoration,Decoration
97,Zoomorphic decoration,94.0,94,1,Zoomorphic decoration,is-a,Has_Decoration,Decoration
98,Vegetal decoration,94.0,94,1,Plant/Vegetal decoration,is-a,Has_Decoration,Decoration
99,Heraldic,94.0,94,1,Heraldic decoration,is-a,Has_Decoration,Decoration
100,Calligraphic decoration,94.0,94,1,Calligraphic decoration,is-a,Has_Decoration,Decoration
1,Shaping,,0,0,Forming/Shaping,,Has_Shaping,
2,Wheel-thrown,1.0,1,1,Wheel-thrown forming,is-a,Has_Shaping,Forming
3,Thrown,2.0,1,2,Thrown forming,is_a,Has_Shaping,Thrown forming
4,Thrown / Modeled,2.0,1,2,Thrown and molded forming,is_a,Has_Shaping,Thrown forming
5,Handmade,1.0,1,1,Hand forming,is_a,Has_Shaping,Forming
6,Modeled,5.0,1,2,Modeled forming,is_a,Has_Shaping,Hand forming
7,Modeled / Turned,5.0,1,2,Modeled and smoothed forming,is_a,Has_Shaping,Hand forming
9,Cut,5.0,1,2,Cut forming,is_a,Has_Shaping,Hand forming
10,Scraped,5.0,1,2,Scraped forming,is_a,Has_Shaping,Hand forming
104,On core,5.0,1,2,Built on core forming,is_a,Has_Shaping,Hand forming
11,Molded,1.0,1,1,Molded forming,is-a,Has_Shaping,Forming
12,Molded,11.0,1,2,Mold-formed,is_a,Has_Shaping,Molded forming
13,Cast,11.0,1,2,Slip cast forming,is_a,Has_Shaping,Molded forming
78,Marks and Signs,,0,0,Marks and Signs,is-a,Has_Mark,
79,Maker's Mark,78.0,78,1,Manufacturer’s mark,is-a,Has_Mark,Marks or Signs
80,Impressed,79.0,78,2,Impressed mark,is-a,Has_Mark,marque 
81,Stamped,79.0,78,2,Stamped mark,is-a,Has_Mark,marque 
82,Incised,79.0,78,2,Incised mark,is-a,Has_Mark,marque 
83,Painted,79.0,78,2,Painted mark,is-a,Has_Mark,marque 
